Comment,Designator,Footprint,JLCPCB Part #
"1nF Unpolarized capacitor, small symbol","C1,C11,C12",C_0402_1005Metric,C1523
"1uF Unpolarized capacitor, small symbol","C2,C3",C_0402_1005Metric,C52923
"10uF Unpolarized capacitor, small symbol",C4,C_0805_2012Metric,C15850
"100nF Unpolarized capacitor, small symbol",C5,C_0805_2012Metric,C28233
"100nF Unpolarized capacitor, small symbol","C6,C8",C_0402_1005Metric,C307331
"100uF Polarized capacitor, small symbol",C7,CP_EIA-3528-21_Kemet-B,C115391
"10nF Unpolarized capacitor, small symbol",C9,C_0402_1005Metric,C15195
"SM712_SOT23 7V/12V, 600W Asymmetrical TVS Diode Array, SOT-23",D1,SOT-23,C2827658
"BZX384B9V1 300mW Zener Diode, SOD-323",D2,D_SOD-323,C241956
"3.3pwr Light emitting diode, small symbol, filled shape",D3,LED_0805_2012Metric,C2296
"UserLED Light emitting diode, small symbol, filled shape",D4,LED_0805_2012Metric,C2296
"Wago2060 Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","J1,J2,J3,J5",Wago2060,C2765055
"22uH Inductor, small symbol",L1,MWSA0402S,C408340
"AO3401A -4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23",Q1,SOT-23,C15127
"4.7k Resistor, small symbol",R1,R_0805_2012Metric,C17673
"470 Resistor, small symbol","R2,R3,R4,R5,R6,R7,R8,R13,R14,R15",R_0402_1005Metric,C25117
"100k Resistor, small symbol","R9,R16",R_0402_1005Metric,C25741
"2.2k Resistor, small symbol","R10,R11",R_0402_1005Metric,C25879
"47k Resistor, small symbol","R12,R20,R21",R_0402_1005Metric,C25792
"18k Resistor, small symbol",R23,R_0402_1005Metric,C25762
"SW_Push Push button switch, generic, two pins","SW1,SW2,SW3",SW-SMD-2_2.9x3.9x1.7,C843669
"SN75176BDR Differential RS-422/RS-485 bus transceiver, SOIC-8",U1,SOIC-8_3.9x4.9mm_P1.27mm,C7063
"74LVC1G34W5-7 Single Buffef Gate, Low-Voltage CMOS","U2,U3,U4,U5",SOT25,C526347
"ESP32-WROOM-32D RF Module, ESP32-D0WDQ6 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD",U8,ESP32-WROOM-32,C473012
"SPX3819M5-L-3-3 500mA Low drop-out regulator, Fixed Output 3.3V, SOT-23-5",U9,SOT-23-5,C9055
TP6841S6 ,U10,SOT-23-6,C2844736
